date,cases
2009-07-20,130.15625
2009-08-03,90.15625
2009-08-25,100.15625
2009-09-16,120.15625
2009-10-09,130.15625
2009-10-24,230.15625
2009-11-11,370.15625
2009-12-05,690.15625
2009-12-17,660.15625
2009-12-30,840.15625
2010-01-01,940.15625
2010-01-03,1140.15625
2010-01-03,1040.15625
2010-01-08,1400.15625
2010-01-10,1500.15625
2010-01-23,1940.15625
2010-01-30,1840.15625
2010-02-17,1770.15625
2010-02-28,1870.15625
2010-03-05,2170.15625
2010-03-05,2070.15625
2010-03-09,1970.15625
2010-03-18,1890.15625
2010-03-27,1790.15625
2010-03-31,1540.15625
2010-03-31,1410.15625
2010-04-05,1210.15625
2010-04-05,1310.15625
2010-04-07,1070.15625
2010-04-16,810.15625
2010-04-23,650.15625
2010-04-25,710.15625
2010-05-15,650.15625
2010-05-26,430.15625
2010-06-06,290.15625
2010-07-03,150.15625
2010-07-21,80.15625
2010-08-12,110.15625
2010-09-03,80.15625
2010-09-26,90.15625
2010-10-18,90.15625
2010-11-05,200.15625
2010-11-16,300.15625
2010-12-10,420.15625
2010-12-19,630.15625
2011-01-04,650.15625
2011-01-26,790.15625
2011-01-30,690.15625
2011-02-11,870.15625
2011-02-20,990.15625
2011-03-05,1070.15625
2011-03-05,930.15625
2011-03-20,1030.15625
2011-03-25,1210.15625
2011-03-29,1110.15625
2011-04-01,1020.15625
2011-04-21,700.15625
2011-05-09,470.15625
2011-05-31,470.15625
2011-07-03,270.15625
2011-07-14,360.15625
2011-08-15,130.15625
2011-09-06,110.15625
2011-10-14,150.15625
2011-10-31,220.15625
2011-12-04,360.15625
2011-12-17,460.15625
2011-12-31,890.15625
2012-01-06,930.15625
2012-01-20,910.15625
2012-02-09,910.15625
2012-02-11,1010.15625
2012-02-18,1300.15625
2012-02-18,1150.15625
2012-02-22,1500.15625
2012-02-27,1600.15625
2012-02-27,1400.15625
2012-03-04,1290.15625
2012-03-06,1190.15625
2012-03-11,1010.15625
2012-03-13,900.15625
2012-03-13,800.15625
2012-03-29,720.15625
2012-05-03,680.15625
2012-05-17,580.15625
2012-06-10,320.15625
2012-06-28,240.15625
2012-07-20,190.15625
2012-08-27,90.15625
2012-09-19,120.15625
2012-10-17,450.15625
2012-10-26,550.15625
2012-11-11,740.15625
2012-11-22,940.15625
2012-11-29,970.15625
2012-12-05,1070.15625
2012-12-08,870.15625
2012-12-21,1570.15625
2012-12-21,1470.15625
2012-12-21,1140.15625
2012-12-28,1060.15625
2013-01-01,960.15625
2013-01-12,730.15625
2013-01-30,560.15625
2013-02-01,530.15625
2013-02-08,730.15625
2013-03-05,760.15625
2013-03-13,860.15625
2013-04-03,780.15625
2013-04-07,880.15625
2013-04-16,970.15625
2013-04-27,870.15625
2013-04-29,770.15625
2013-05-13,550.15625
2013-05-22,450.15625
2013-06-15,290.15625
2013-07-03,190.15625
2013-08-03,250.15625
2013-08-30,190.15625
2013-10-02,240.15625
2013-10-11,490.15625
2013-10-11,380.15625
2013-10-13,390.15625
2013-10-24,350.15625
2013-11-02,410.15625
2013-11-27,670.15625
2013-12-10,840.15625
2013-12-24,850.15625
2013-12-26,920.15625
2014-01-06,1020.15625
2014-01-26,1240.15625
2014-02-06,1340.15625
2014-03-05,900.15625
2014-03-25,810.15625
2014-03-29,910.15625
2014-04-05,1010.15625
2014-04-10,950.15625
2014-04-18,780.15625
2014-05-08,560.15625
2014-05-20,460.15625
2014-06-02,370.15625
2014-06-22,310.15625
2014-07-03,410.15625
2014-07-14,450.15625
2014-08-21,420.15625
2014-08-21,410.15625
2014-09-06,510.15625
2014-09-15,590.15625
2014-10-05,520.15625
2014-10-16,620.15625
2014-11-03,700.15625
2014-11-14,850.15625
2014-12-04,830.15625
2014-12-06,930.15625
2014-12-15,1150.15625
2014-12-19,1290.15625
2014-12-19,1390.15625
2014-12-19,1490.15625
2014-12-26,1190.15625
2014-12-31,1020.15625
2015-01-02,800.15625
2015-01-04,900.15625
2015-01-17,1050.15625
2015-01-26,1230.15625
2015-01-29,1330.15625
2015-02-15,1480.15625
2015-02-26,1780.15625
2015-03-21,1540.15625
2015-04-01,1790.15625
2015-04-05,1710.15625
2015-04-10,1610.15625
2015-04-19,1510.15625
2015-05-04,1340.15625
2015-05-11,1180.15625
2015-05-11,1080.15625
2015-05-15,980.15625
2015-05-31,610.15625
2015-06-18,510.15625
2015-08-01,250.15625
2015-08-13,210.15625
2015-09-28,240.15625
2015-10-12,330.15625
2015-10-23,430.15625
2015-11-19,590.15625
2015-11-30,480.15625
2015-12-09,580.15625
2015-12-11,600.15625
2015-12-24,730.15625
2015-12-29,630.15625
2016-01-02,530.15625
2016-01-15,880.15625
2016-01-22,740.15625
2016-01-29,840.15625
2016-02-05,960.15625
2016-02-13,960.15625
2016-02-16,1050.15625
2016-02-20,860.15625
2016-02-27,1310.15625
2016-03-02,1410.15625
2016-03-07,1650.15625
2016-03-20,1830.15625
2016-03-25,1930.15625
2016-03-29,1650.15625
2016-04-02,1550.15625
2016-04-07,1750.15625
2016-04-11,1790.15625
2016-04-14,1590.15625
2016-04-16,1890.15625
2016-04-20,1670.15625
2016-05-06,1540.15625
2016-05-15,1340.15625
2016-05-21,1140.15625
2016-05-21,1240.15625
2016-05-28,770.15625
2016-06-02,670.15625
2016-06-22,450.15625
2016-06-28,350.15625
